iter	Logloss
0	0.6595854779
1	0.6278683317
2	0.6009626814
3	0.576938671
4	0.5549828043
5	0.5352086083
6	0.5182819162
7	0.5029758164
8	0.4891295814
9	0.4770675322
10	0.4658688779
11	0.455873534
12	0.447495542
13	0.440212451
14	0.4333307116
15	0.426949269
16	0.4211265128
17	0.4156567651
18	0.4115478856
19	0.4074698472
20	0.4038924489
21	0.4010539743
22	0.398175553
23	0.3953922418
24	0.3926434733
25	0.3903508906
26	0.3881406034
27	0.3864064871
28	0.3846608436
29	0.3832645427
30	0.3817108445
31	0.3805230618
32	0.379566239
33	0.3784651607
34	0.3772760271
35	0.3764287559
36	0.3755790704
37	0.3747632724
38	0.3741493297
39	0.3734273368
40	0.372895719
41	0.3723740942
42	0.3716827479
43	0.3711055358
44	0.3706867394
45	0.3701437749
46	0.3696844126
47	0.3692181491
48	0.3688754375
49	0.3685122204
50	0.3681880012
51	0.3678722196
52	0.3676495943
53	0.3673157651
54	0.3669927758
55	0.3666886018
56	0.3664211816
57	0.3661188434
58	0.3658274148
59	0.3655179292
60	0.3653464038
61	0.3650869577
62	0.3648432253
63	0.3647178128
64	0.3645282842
65	0.3643357973
66	0.3640842832
67	0.3638642296
68	0.363646439
69	0.3634089017
70	0.3632662359
71	0.363089604
72	0.3629288791
73	0.3627632272
74	0.3625873562
75	0.3623868165
76	0.3622419433
77	0.3620636874
78	0.3618816418
79	0.3617631577
80	0.3615684034
81	0.3614021466
82	0.3612430092
83	0.3610806543
84	0.36090311
85	0.3607783108
86	0.3605761646
87	0.3603958492
88	0.3602155437
89	0.3600667365
90	0.3599741907
91	0.3598125528
92	0.3596660524
93	0.3595598046
94	0.359416562
95	0.3592471904
96	0.359094034
97	0.358989354
98	0.3588842276
99	0.3587430114
100	0.3586203529
101	0.358512988
102	0.3584148856
103	0.3582194249
104	0.3580962404
105	0.3579347149
106	0.3577747418
107	0.35763951
108	0.3575111457
109	0.3573969327
110	0.3572590899
111	0.3571110369
112	0.357027292
113	0.3569109746
114	0.356791314
115	0.3567213931
116	0.3565632681
117	0.3564740096
118	0.3563759694
119	0.356270922
120	0.356172183
121	0.3560691311
122	0.3559161658
123	0.3557850594
124	0.3556622186
125	0.3555193269
126	0.3554110657
127	0.3552961983
128	0.355182999
129	0.3550727552
130	0.3549887637
131	0.3548761062
132	0.3547766412
133	0.3546827553
134	0.3545627007
135	0.3544920005
136	0.3544218939
137	0.3543365308
138	0.3541940739
139	0.3541010459
140	0.3540107885
141	0.3539243667
142	0.3538276173
143	0.3536897598
144	0.3536088302
145	0.3535084076
146	0.3534085811
147	0.3533511115
148	0.3532131352
149	0.3531649994
150	0.3530933274
151	0.3530281455
152	0.3528904746
153	0.3528221373
154	0.3527257854
155	0.3525640207
156	0.3524766849
157	0.3523880737
158	0.3523030842
159	0.3521977822
160	0.3520659158
161	0.3519943494
162	0.3518923355
163	0.3518021099
164	0.3517347638
165	0.3516083193
166	0.3515246723
167	0.3514211275
168	0.3512849044
169	0.351218965
170	0.3510824264
171	0.3509768855
172	0.3509007954
173	0.3507976059
174	0.3507371893
175	0.3506253127
176	0.3505209417
177	0.3504551132
178	0.3503083242
179	0.3502468432
180	0.3501793275
181	0.3500910594
182	0.349986664
183	0.3498902266
184	0.3498364201
185	0.3497667158
186	0.349665997
187	0.3495346085
188	0.3494136429
189	0.3493262983
190	0.3492318296
191	0.3491398891
192	0.3490032773
193	0.3488535308
194	0.3487497831
195	0.3487060936
196	0.3485883938
197	0.3484690287
198	0.3483557902
199	0.3482490525
200	0.3481336509
201	0.3480131917
202	0.3478709017
203	0.3477529781
204	0.347640875
205	0.3475641629
206	0.3474477114
207	0.3473690248
208	0.3472942161
209	0.3472147643
210	0.347127187
211	0.3470165062
212	0.346927895
213	0.3468560023
214	0.3467578134
215	0.3466516399
216	0.3465527152
217	0.3464555898
218	0.346359057
219	0.3462383036
220	0.3461665847
